"代码","名称","行业","板块","每手股数","认购倍数","发行市值","上市价","首日收盘价","中签率"
"06127","昭衍新藥","醫療保健","主板",100,"310.00","408.88億",,0,"5.00"
"01473","環聯連訊","電訊","主板",4000,"64.15","5.60億",0.56,0.71,"15.00"
"06606","諾輝健康－Ｂ","醫療保健","主板",500,"4133.19","111.43億",26.66,84,"2.00"
"02170","貝康醫療－Ｂ","醫療保健","主板",500,"402.80","72.96億",27.36,27.7,"10.00"
"01024","快手－Ｗ","軟件服務","主板",100,"1204.16","4724.42億",115,300,"4.00"
"02161","健倍苗苗","醫療保健","主板",2000,"22.47","10.72億",1.2,2.16,"8.00"
"02160","心通醫療－Ｂ","醫療保健","主板",1000,"769.00","288.67億",12.2,18.82,"7.50"
"06668","星盛商業","居民服務","主板",1000,"756.85","38.60億",3.86,4,"1.29"
"02159","麥迪衛康","醫療保健","主板",800,"168.75","6.00億",3,3.79,"15.00"
"09608","宋都服務","居民服務","主板",10000,"25.24","8.00億",0.25,0.16,"12.50"
"01490","網上車市","軟件服務","主板",4000,"1274.76","14.81億",1.23,1.5,"0.43"
"01643","現代中藥集團","醫療保健","主板",3000,"30.66","7.08億",1.18,1.26,"10.00"
"02125","稻草熊娛樂","影視傳媒","主板",1000,"403.54","38.99億",5.88,10.8,"6.00"
"02146","榮萬家","居民服務","主板",500,"6.62","50.61億",13.46,12.36,"18.00"
"02158","醫渡科技","軟件服務","主板",100,"1633.84","237.16億",26.3,65.2,"20.00"
"01440","DEYUN HOLDING","紡織服飾","主板",5000,"33.62","5.04億",0.4,0.415,"10.00"
"02129","LEGION CONSO","貨運物流","主板",5000,"443.37","5.00億",0.4,0.35,"1.09"
"02153","達豐設備","建筑","主板",2000,"10.30","20.19億",1.73,1.58,"10.00"
"08489","裕程物流","貨運物流","主板",5000,"35.90","2.22億",0.74,0.87,"15.26"
"01855","中邦環境","居民服務","主板",2000,"36.25","5.50億",2,2.05,"13.50"
"09600","新紐科技","軟件服務","主板",800,"446.57","34.88億",4.36,4.1,"16.00"
"01379","溫嶺工量刃具","地產","主板",500,"27.68","5.00億",6.25,6.06,"20.00"
"01945","清科創業","其他金融","主板",400,"1394.00","33.00億",11,11.6,"2.00"
"01940","CGII HLDGS","工業制造","主板",2000,"10.09","16.44億",1.37,1.62,"10.00"
"02127","匯森家居","家電家用","主板",2000,"53.40","53.10億",1.77,1.8,"20.00"
"02135","瑞麗醫美","醫療保健","主板",10000,"386.00","8.22億",0.4,0.435,"3.00"
"01167","加科思－Ｂ","醫療保健","主板",300,"299.59","106.35億",14,14.42,"15.00"
"02148","VESYNC","家電家用","主板",1000,"538.00","62.00億",5.52,8.8,"1.54"
"02131","云想科技","軟件服務","主板",1000,"114.45","55.84億",6.98,8.12,"10.00"
"06677","遠洋服務","居民服務","主板",500,"8.91","69.62億",5.88,5.85,"15.00"
"06993","藍月亮集團","紡織服飾","主板",500,"301.33","756.32億",13.16,14.88,"55.00"
"02117","大唐集團控股","地產","主板",1000,"0.76","60.80億",4.56,4.59,"100.00"
"09992","泡泡瑪特","家電家用","主板",200,"356.74","531.91億",38.5,69,"15.00"
"02142","和鉑醫藥－Ｂ","醫療保健","主板",1000,"78.54","95.06億",12.38,11.02,"10.00"
"06999","領地控股","地產","主板",1000,"0.57","56.90億",5.69,5.69,"100.00"
"01153","佳源服務","居民服務","主板",1000,"2.79","23.16億",3.86,3.88,"60.00"
"01209","華潤萬象生活","居民服務","主板",200,"29.78","490.60億",22.3,28,"100.00"
"06618","京東健康","醫療保健","主板",50,"421.91","2207.09億",70.58,110,"40.00"
"02110","裕勤控股","建筑","主板",10000,"36.79","5.00億",0.225,0.192,"20.00"
"06666","恒大物業","居民服務","主板",500,"10.71","951.35億",8.8,8.78,"50.00"
"06996","德琪醫藥－Ｂ","醫療保健","主板",500,"264.76","120.81億",18.08,18.28,"20.00"
"01516","融創服務","居民服務","主板",1000,"10.42","348.00億",11.6,14.14,"30.00"
"01795","亞東集團","紡織服飾","主板",3000,"18.30","5.04億",0.84,0.83,"25.00"
"02599","祥生控股集團","地產","主板",1000,"0.54","167.70億",5.59,5.59,"100.00"
"06900","上坤地產","地產","主板",2000,"0.89","45.60億",2.28,2.3,"100.00"
"09666","金科服務","居民服務","主板",100,"11.17","282.91億",44.7,44.7,"50.00"
"01351","輝煌明天","影視傳媒","主板",2000,"31.32","5.50億",1.1,1.45,"45.00"
"09901","新東方－Ｓ","居民服務","主板",10,"1.55","2009.78億",1190,1365,"100.00"
"09995","榮昌生物－Ｂ","醫療保健","主板",500,"53.43","249.22億",52.1,69.8,"90.00"
"02126","藥明巨諾－Ｂ","醫療保健","主板",500,"449.42","89.53億",23.8,22,"5.00"
"09698","萬國數據－ＳＷ","軟件服務","主板",100,"6.42","1189.89億",80.88,83,"80.00"
"00873","世茂服務","居民服務","主板",1000,"13.86","390.59億",16.6,16.6,"50.00"
"03913","合景悠活","居民服務","主板",1000,"44.46","159.21億",7.89,6.08,"60.00"
"09993","金輝控股","地產","主板",1000,"1.72","172.00億",4.3,4.36,"100.00"
"02096","先聲藥業","醫療保健","主板",1000,"589.47","356.98億",13.7,10.98,"5.00"
"02169","滄港鐵路","貨運物流","主板",4000,"12.00","9.50億",0.95,1,"6.50"
"02107","第一服務控股","居民服務","主板",2500,"66.69","24.00億",2.4,1.76,"10.00"
"01597","納泉能源科技","工業制造","主板",1000,"77.19","5.00億",2,2.07,"15.00"
"02132","譽燊豐控股","建筑","主板",8000,"59.05","5.20億",0.325,0.275,"10.00"
"06989","卓越商企服務","居民服務","主板",1000,"652.06","128.16億",10.68,11,"10.00"
"08657","TRUE PARTNER","其他金融","創業板",2000,"13.15","5.60億",1.4,1.08,"15.00"
"02115","捷心隆","建筑","主板",10000,"13.47","5.04億",0.36,1.13,"10.01"
"02130","嘉泓物流","貨運物流","主板",1000,"34.31","6.65億",2.66,2.71,"20.00"
"09677","威海銀行","銀行","主板",1000,"0.61","195.92億",3.35,3.35,"100.00"
"01952","云頂新耀－Ｂ","醫療保健","主板",500,"654.41","156.03億",55,72.75,"2.00"
"06998","嘉和生物－Ｂ","醫療保健","主板",500,"1247.52","115.46億",24,27.95,"3.00"
"01429","天任集團","建筑","主板",8000,"26.76","5.60億",0.35,1,"12.50"
"02057","中通快遞－ＳＷ","貨運物流","主板",50,"6.69","1849.84億",218,238,"70.00"
"09616","東軟教育","居民服務","主板",800,"300.07","41.47億",6.22,6.22,"10.00"
"09991","寶尊電商－ＳＷ","軟件服務","主板",100,"3.60","190.21億",82.9,84,"70.00"
"09688","再鼎醫藥－ＳＢ","醫療保健","主板",50,"3.43","482.98億",562,610,"50.00"
"00909","明源云","軟件服務","主板",1000,"644.25","308.72億",16.5,30.7,"10.00"
"06988","樂享互動","軟件服務","主板",1000,"1632.92","62.64億",2.88,2.7,"10.00"
"01179","華住集團－Ｓ","餐飲娛樂","主板",50,"3.39","942.82億",297,311,"100.00"
"02101","福祿控股","軟件服務","主板",500,"1258.51","35.60億",8.9,9.18,"2.00"
"01455","科利實業控股","家電家用","主板",5000,"7.70","5.00億",0.4,1.32,"30.00"
"01408","濠江機電","建筑","主板",2000,"8.99","5.00億",1,2.86,"30.11"
"09987","百勝中國－Ｓ","餐飲娛樂","主板",50,"52.32","1726.72億",412,390.2,"25.00"
"09633","農夫山泉","食品飲料","主板",200,"1148.30","2405.47億",21.5,33.1,"12.00"
"09913","智勤控股","建筑","主板",4000,"19.15","5.20億",0.52,0.425,"80.01"
"03347","泰格醫藥","醫療保健","主板",100,"414.39","856.52億",100,113.3,"5.00"
"01449","立德教育","居民服務","主板",1000,"27.94","14.00億",2.1,1.85,"20.00"
"00368","德合集團","建筑","主板",4000,"10.73","5.04億",0.63,0.7,"10.01"
"09668","渤海銀行","銀行","主板",500,"0.59","831.84億",4.8,4.8,"100.00"
"09908","嘉興燃氣","石油天然氣","主板",500,"6.73","13.33億",10,11.04,"18.01"
"09977","鳳祥股份","農業產品","主板",1000,"2.10","46.62億",3.33,3.36,"85.00"
"01156","CHINANEWENERGY","工業制造","主板",4000,"9.44","5.40億",0.98,0,"8.51"
"01981","華夏視聽教育","影視傳媒","主板",1000,"34.64","49.60億",3.1,4.92,"50.00"
"06933","新娛科控股","軟件服務","主板",2000,"5.59","6.52億",1.63,1.7,"25.02"
"06968","港龍中國地產","地產","主板",1000,"0.28","62.88億",3.93,3.92,"100.00"
"09986","大山教育","居民服務","主板",2000,"4.09","10.00億",1.25,1.12,"50.00"
"09990","祖龍娛樂","軟件服務","主板",1000,"123.01","91.34億",11.6,20.3,"20.00"
"08659","易和國際控股","工用支援","創業板",5000,"11.30","2.40億",0.4,0.76,"13.02"
"09906","宏力醫療管理","醫療保健","主板",2000,"14.99","12.60億",2.1,2.42,"10.00"
"01163","虎視傳媒","軟件服務","主板",2500,"6.18","5.16億",0.86,1.07,"45.02"
"01477","歐康維視生物－Ｂ","醫療保健","主板",500,"1895.76","84.33億",14.66,37,"5.00"
"06958","正榮服務","居民服務","主板",1000,"102.00","45.50億",4.55,5.6,"40.00"
"06969","思摩爾國際","工業制造","主板",1000,"116.00","712.20億",12.4,31,"20.00"
"06978","永泰生物－Ｂ","醫療保健","主板",1000,"259.58","55.00億",11,15.48,"20.00"
"08623","中國蜀塔","工業制造","創業板",10000,"29.09","2.40億",0.3,0.217,"60.00"
"09979","綠城管理控股","地產","主板",1000,"11.20","47.76億",2.5,3.25,"40.00"
"01957","MBV INTL","紡織服飾","主板",2500,"23.50","5.02億",0.8,0.345,"65.01"
"09989","海普瑞","醫療保健","主板",500,"69.21","269.98億",18.4,17.66,"40.00"
"01971","弘陽服務","居民服務","主板",1000,"111.82","16.60億",4.15,4.4,"30.00"
"01502","金融街物業","居民服務","主板",1000,"146.22","26.50億",7.36,9.46,"20.00"
"01650","HYGIEIA GROUP","居民服務","主板",8000,"19.92","5.00億",0.25,0.134,"20.00"
"06078","海吉亞醫療","醫療保健","主板",200,"608.56","111.00億",18.5,26,"8.80"
"09997","康基醫療","醫療保健","主板",500,"989.22","173.81億",13.88,27.6,"9.00"
"09958","力天影業","影視傳媒","主板",1000,"11.65","7.68億",2.56,1.59,"20.01"
"09618","京東集團－ＳＷ","軟件服務","主板",50,"178.90","6984.24億",226,234,"10.00"
"09999","網易－Ｓ","軟件服務","主板",100,"360.53","4218.16億",123,130,"8.00"
"01645","海納智能","工業制造","主板",4000,"168.29","6.40億",1.38,1.2,"8.00"
"02381","蜆殼電業","家電家用","主板",10000,"37.30","5.00億",0.25,0.141,"33.14"
"09923","移卡","軟件服務","主板",400,"641.38","69.02億",16.64,17.66,"10.00"
"09939","開拓藥業－Ｂ","醫療保健","主板",500,"551.32","74.43億",20.15,21.5,"10.00"
"08496","新加坡美食控股","餐飲娛樂","創業板",2500,"16.40","2.16億",0.9,2.06,"12.28"
"09983","建業新生活","居民服務","主板",1000,"142.52","82.20億",6.85,8.37,"25.00"
"09996","沛嘉醫療－Ｂ","醫療保健","主板",1000,"1184.41","93.70億",15.36,25.8,"8.50"
"01147","伊登軟件","軟件服務","主板",10000,"115.63","5.00億",0.25,0.163,"30.00"
"01936","RITAMIX","食品飲料","主板",2000,"5.33","5.00億",1,2.76,"30.01"
"01376","RAFFLESINTERIOR","建筑","主板",8000,"14.17","5.00億",0.5,0.63,"10.00"
"01953","RIMBACO","建筑","主板",5000,"15.90","5.04億",0.4,0.475,"25.00"
"09926","康方生物－Ｂ","醫療保健","主板",1000,"639.20","123.47億",16.18,24.3,"12.00"
"08616","新威工程集團","建筑","創業板",10000,"34.70","2.40億",0.24,0.51,"20.00"
"08620","亞洲速運","貨運物流","創業板",5000,"196.21","2.40億",0.5,0.32,"10.00"
"01942","MOG HOLDINGS","紡織服飾","主板",2000,"40.04","5.00億",1,0.5,"35.00"
"03390","滿貫集團","醫療保健","主板",2000,"6.79","11.92億",1.49,0.96,"25.08"
"06063","智中國際","建筑","主板",8000,"14.15","5.00億",0.25,0.69,"20.00"
"01463","C-LINK SQ","軟件服務","主板",4000,"11.15","5.04億",0.63,0.86,"13.01"
"09969","諾誠健華－Ｂ","醫療保健","主板",1000,"298.75","112.02億",8.95,9.81,"25.00"
"00589","建中建設","建筑","主板",2000,"59.04","10.31億",1.65,1.89,"60.00"
"06918","奇士達","家電家用","主板",2000,"20.40","7.18億",1.38,0.9,"50.01"
"01472","生興控股","建筑","主板",5000,"2.47","5.00億",0.5,1.24,"75.83"
"01961","九尊數字互娛","軟件服務","主板",2000,"23.06","7.37億",1.35,1.4,"60.00"
"01859","煜盛文化","影視傳媒","主板",1000,"0.80","36.16億",2.26,2.1,"100.00"
"01941","燁星集團","居民服務","主板",2000,"1948.62","6.24億",1.56,1.72,"3.00"
"01343","偉源控股","建筑","主板",5000,"4.79","5.11億",0.48,0.79,"30.01"
"01433","常達控股","紡織服飾","主板",10000,"74.68","5.00億",0.25,0.15,"70.01"
"01950","深藍科技控股","原材料","主板",4000,"12.47","5.20億",0.52,0.51,"30.01"
"09936","稀美資源","一般金屬","主板",2500,"15.74","6.69億",2.23,2.03,"35.01"
"09916","興業物聯","居民服務","主板",2000,"1414.06","7.96億",1.99,2.03,"3.00"
"02263","富石金融","券商信托","主板",10000,"130.35","5.00億",0.5,0.4,"20.01"
"09929","澳達控股","建筑","主板",10000,"5.57","5.00億",0.25,0.255,"26.12"
"01442","INFINITY L&T","貨運物流","主板",10000,"10.46","6.20億",0.31,0.34,"10.00"
"01601","中關村科技租賃","其他金融","主板",2000,"5.80","20.27億",1.52,1.52,"100.00"
"09933","GHW INTL","原材料","主板",4000,"21.70","5.29億",0.51,0.35,"40.00"
"01745","LVJI TECH","軟件服務","主板",2000,"84.66","29.90億",2.12,1.9,"20.00"
"01937","佳辰控股","建筑","主板",5000,"7.63","5.30億",0.53,0.335,"50.01"
"09938","華和控股","建筑","主板",5000,"16.69","5.00億",0.5,0.8,"25.00"
"00301","三和精化","工業制造","主板",2000,"37.75","5.56億",1.3,1.03,"30.00"
"01412","雋思集團","原材料","主板",2000,"6.81","6.28億",1.18,1.1,"49.31"
"01525","建橋教育","居民服務","主板",500,"4.52","24.20億",6.05,6.81,"40.00"
"01740","新石文化","影視傳媒","主板",5000,"1212.16","5.00億",0.5,0.7,"1.50"
"01925","曠世控股","家電家用","主板",2000,"17.66","5.12億",1.28,0.96,"60.00"
"09919","艾德韋宣集團","影視傳媒","主板",2000,"113.75","16.77億",2.02,1.57,"20.00"
"09968","匯景控股","地產","主板",2000,"0.32","101.40億",1.93,1.95,"100.00"
"01416","CTR HOLDINGS","建筑","主板",10000,"18.17","5.04億",0.36,0.255,"18.20"
"03718","北控城市資源","公共事業","主板",4000,"2.70","24.84億",0.69,0.69,"80.02"
"09922","九毛九","餐飲娛樂","主板",1000,"637.82","88.00億",6.6,10.32,"25.00"
"01802","文業集團","建筑","主板",2000,"12.62","6.30億",1.06,1.09,"25.02"
"08500","天泓文創","影視傳媒","創業板",2000,"15.10","2.50億",1.39,0.99,"19.89"
"02528","尚晉國際控股","紡織服飾","主板",2000,"17.70","8.00億",2,1.46,"14.00"
"08646","中國宏光","工業制造","創業板",3000,"27.90","2.31億",0.77,0.79,"10.50"
"09918","麗年國際","家電家用","主板",8000,"35.19","5.00億",0.25,0.249,"40.00"
"09998","光榮控股","建筑","主板",5000,"48.73","5.20億",0.65,0.6,"5.25"
"01542","臺州水務","公共事業","主板",1000,"5.47","8.44億",4.22,4.22,"20.00"
"09911","赤子城科技","軟件服務","主板",2000,"1441.83","16.80億",1.68,3.25,"2.00"
"06199","貴州銀行","銀行","主板",1000,"0.25","361.78億",2.48,2.3,"100.00"
"09909","寶龍商業","居民服務","主板",500,"53.24","57.00億",9.5,10.06,"90.00"
"06049","保利物業","居民服務","主板",200,"222.68","187.20億",35.1,45.35,"100.00"
"09928","時代鄰里","居民服務","主板",1000,"10.61","46.80億",5.15,4.88,"35.00"
"01553","邁科管業","工業制造","主板",2000,"8.27","9.89億",2.28,2.15,"19.96"
"01691","ＪＳ環球生活","家電家用","主板",500,"2.68","173.27億",5.2,5.49,"100.00"
"06193","泰林科建","建筑","主板",2000,"41.99","5.20億",1.3,1.48,"15.01"
"01593","辰林教育","居民服務","主板",2000,"1.73","22.00億",2.2,2.06,"100.00"
"03680","索信達控股","軟件服務","主板",2000,"15.16","6.00億",1.5,1.62,"60.00"
"06919","人瑞人才","居民服務","主板",100,"0.83","40.04億",26.6,26.55,"100.00"
"08216","豐城控股","建筑","創業板",5000,"24.40","2.40億",0.6,0.435,"30.00"
"02400","心動公司","軟件服務","主板",200,"11.19","47.06億",11.1,11.86,"40.00"
"09966","康寧杰瑞制藥－Ｂ","醫療保健","主板",1000,"192.10","91.50億",10.2,13.5,"40.00"
"01503","招商局商業房托","地產","主板",1000,"1.43","38.57億",3.42,3.15,"100.00"
"02500","啟明醫療－Ｂ","醫療保健","主板",500,"312.42","129.59億",33,43.05,"30.00"
"08645","NOMAD TECH","軟件服務","創業板",6000,"148.60","2.40億",0.4,0.28,"20.00"
"02231","景業名邦集團","地產","主板",1000,"1.89","50.56億",3.16,3.23,"100.00"
"08208","WMCH GLOBAL","建筑","創業板",6000,"30.30","2.40億",0.4,0.4,"28.00"
"01425","捷隆控股","紡織服飾","主板",5000,"13.96","5.00億",0.4,0.415,"21.00"
"03759","康龍化成","醫療保健","主板",100,"114.23","306.88億",39.5,42.25,"100.00"
"09988","阿里巴巴－ＳＷ","軟件服務","主板",100,"42.44","37640.74億",176,187.6,"80.00"
"01756","華立大學","居民服務","主板",1000,"3.72","39.12億",3.26,2.7,"70.00"
"02296","華記環球集團","建筑","主板",8000,"61.00","5.00億",0.25,0.26,"25.01"
"02103","新力控股集團","地產","主板",1000,"0.71","140.47億",3.98,3.95,"100.00"
"03348","中國鵬飛集團","工業制造","主板",2000,"27.72","7.90億",1.58,1.19,"50.00"
"08617","永聯豐控股","工業制造","創業板",5000,"62.67","2.20億",0.55,0.56,"30.00"
"01747","HOME CONTROL","家電家用","主板",2000,"16.14","5.10億",1.02,0.92,"40.00"
"08627","旅橙文化","居民服務","創業板",8000,"36.10","2.20億",0.275,0.28,"30.00"
"01346","利華控股集團","紡織服飾","主板",4000,"31.20","5.44億",0.85,0.62,"40.00"
"01401","SPROCOMM INTEL","通訊器材","主板",20000,"74.00","5.00億",0.5,0.62,"5.00"
"06186","中國飛鶴","食品飲料","主板",1000,"13.14","670.00億",7.5,7.44,"65.00"
"01640","瑞誠中國傳媒","影視傳媒","主板",2000,"19.47","5.00億",1.25,1.24,"65.01"
"03681","中國抗體—Ｂ","醫療保健","主板",300,"12.87","76.47億",7.6,6,"100.00"
"01427","中國天保集團","地產","主板",1000,"0.79","20.00億",2.5,2.57,"100.00"
"01501","康德萊醫械","醫療保健","主板",200,"267.97","33.28億",20.8,27,"30.00"
"01870","益美國際控股","建筑","主板",2500,"20.13","5.04億",0.97,1.42,"25.00"
"01875","東曜藥業－Ｂ","醫療保健","主板",400,"12.95","37.34億",6.55,6.26,"15.00"
"01921","達力普控股","石油天然氣","主板",2000,"2.53","23.85億",1.59,1.53,"60.00"
"01987","BENG SOON MACH","建筑","主板",4000,"26.41","5.00億",0.5,0.5,"35.00"
"03603","信基沙溪","地產","主板",3000,"4.58","15.00億",1,1.3,"80.02"
"01922","銀城生活服務","居民服務","主板",2000,"382.88","5.81億",2.18,2.52,"3.00"
"02163","遠大住工","建筑","主板",300,"1.38","47.19億",9.68,9.67,"100.00"
"01821","ESR","貨運物流","主板",200,"3.22","510.15億",16.8,17.7,"100.00"
"00302","中手游","軟件服務","主板",2000,"543.83","63.99億",2.83,2.89,"15.00"
"01847","云南建投混凝土","建筑","主板",1000,"18.46","14.99億",3.36,2.66,"70.00"
"06855","亞盛醫藥－Ｂ","醫療保健","主板",100,"751.99","70.82億",34.2,37.6,"9.00"
"01692","登輝控股","家電家用","主板",2000,"274.49","5.20億",1.3,0.86,"10.00"
"01853","春城熱力","公共事業","主板",2500,"98.25","10.97億",2.35,2.2,"20.00"
"01871","向中國際","居民服務","主板",4000,"380.15","5.12億",1.28,0.87,"1.60"
"01843","快餐帝國","餐飲娛樂","主板",4000,"13.68","5.20億",0.65,0.61,"19.49"
"08441","國際永勝集團","居民服務","創業板",10000,"41.56","2.56億",0.32,0.57,"30.00"
"01283","高升集團控股","建筑","主板",5000,"81.62","5.84億",0.73,0.74,"10.00"
"01959","世紀聯合控股","汽車","主板",2000,"22.16","5.40億",1.08,0.77,"40.00"
"01967","信懇智能","工業制造","主板",2000,"12.88","5.00億",2,3.4,"15.01"
"02606","藍光嘉寶服務","居民服務","主板",100,"52.89","63.52億",37,42.55,"100.00"
"01084","綠新親水膠體","食品飲料","主板",2000,"1.59","9.28億",1.16,1.35,"100.00"
"01582","華營建筑","建筑","主板",2500,"9.87","5.00億",1,1.15,"20.00"
"01955","莊臣控股","居民服務","主板",2000,"50.03","5.00億",1,1.23,"50.00"
"01846","德視佳","醫療保健","主板",1000,"42.72","23.80億",7.5,11,"30.00"
"01895","鑫苑服務","居民服務","主板",1000,"6.01","10.40億",2.08,2.95,"20.01"
"08418","傲迪瑪汽車","汽車","創業板",10000,"28.18","2.04億",0.24,0.465,"40.00"
"03601","魯大師","軟件服務","主板",1000,"277.36","7.02億",2.7,8.6,"20.00"
"06110","滔搏","紡織服飾","主板",1000,"2.39","527.10億",8.5,9.25,"100.00"
"06820","FRIENDTIMES","軟件服務","主板",2000,"7.95","33.44億",1.52,1.52,"50.00"
"01876","百威亞太","食品飲料","主板",100,"3.64","3516.92億",27,28.2,"100.00"
"01960","TBKS HLDGS","建筑","主板",5000,"9.60","5.00億",0.5,0.8,"10.01"
"03938","LFG投資控股","券商信托","主板",2000,"28.42","6.72億",1.68,1.07,"25.06"
"08668","瀛海集團","餐飲娛樂","創業板",10000,"54.90","2.88億",0.24,0.241,"30.00"
"02696","復宏漢霖－Ｂ","醫療保健","主板",100,"3.89","267.41億",49.6,49.45,"100.00"
"03928","S&T HLDGS","建筑","主板",2000,"7.21","5.14億",1.07,1.22,"35.01"
"01920","恒新豐控股","建筑","主板",10000,"15.14","5.20億",0.2,0.168,"80.00"
"02558","晉商銀行","銀行","主板",1000,"0.18","218.81億",3.82,3.82,"100.00"
"00382","中匯集團","居民服務","主板",2000,"2.42","28.50億",2.85,2.87,"100.00"
"01134","恒發光學","紡織服飾","主板",4000,"29.68","5.00億",1,1.06,"15.00"
"01912","康特隆","工業制造","主板",5000,"39.90","5.20億",0.65,0.69,"25.00"
"01949","PLATT NERA","軟件服務","主板",2000,"13.67","5.00億",1.25,1.55,"14.01"
"02772","中梁控股","地產","主板",500,"1.01","195.92億",5.55,5.95,"100.00"
"06805","金茂源環保","工業制造","主板",2000,"1.96","14.90億",1.33,1.3,"90.00"
"01931","華檢醫療","醫療保健","主板",1000,"2.21","40.94億",3.07,3.07,"50.00"
"01977","安樂工程","建筑","主板",2000,"7.59","16.80億",1.2,1.63,"100.00"
"06093","和泓服務","居民服務","主板",2000,"5.31","5.12億",1.28,1.72,"20.01"
"08612","維亮控股","居民服務","創業板",10000,"28.19","3.30億",0.55,0.78,"35.01"
"01839","中集車輛","汽車","主板",500,"2.74","112.61億",6.38,6.14,"100.00"
"02180","萬寶盛華","居民服務","主板",250,"4.67","19.80億",9.9,9.8,"85.01"
"00924","坤集團","建筑","主板",8000,"13.36","5.00億",0.5,1.16,"6.83"
"03798","家鄉互動","軟件服務","主板",2000,"2.77","16.96億",1.35,1.71,"60.00"
"01286","鷹普精密","工業制造","主板",1000,"2.72","55.00億",3,3.01,"100.00"
"01701","途屹控股","餐飲娛樂","主板",4000,"6.20","5.20億",0.52,0.305,"60.01"
"01842","植華集團","紡織服飾","主板",4000,"8.29","5.00億",0.5,0.57,"35.00"
"01901","飛揚集團","餐飲娛樂","主板",2000,"19.14","5.25億",1.05,0.98,"50.01"
"01930","勛龍","汽車","主板",4000,"6.01","5.81億",0.88,1.18,"40.04"
"01943","銀濤控股","建筑","主板",5000,"3.23","5.00億",0.5,0.465,"100.00"
"01849","創世紀集團控股","軟件服務","主板",5000,"9.03","5.20億",0.65,0.49,"25.00"
"01951","錦欣生殖","醫療保健","主板",2000,"99.26","203.32億",8.54,9.28,"65.00"
"01769","思考樂教育","居民服務","主板",1000,"1.57","20.45億",3.68,3.69,"100.00"
"06117","日照港裕廊","貨運物流","主板",2000,"0.24","24.00億",1.5,4,"100.00"
"01935","嘉宏教育","居民服務","主板",2000,"0.46","24.00億",1.5,1.65,"100.00"
"03877","中國船舶租賃","其他金融","主板",2000,"0.11","82.22億",1.34,1.24,"100.00"
"03692","翰森制藥","醫療保健","主板",2000,"11.77","813.66億",14.26,19.5,"60.01"
"02189","嘉濤(香港)控股","居民服務","主板",4000,"80.37","6.00億",0.6,0.56,"20.00"
"06811","太興集團","餐飲娛樂","主板",1000,"15.51","30.00億",3,2.64,"80.00"
"00667","中國東方教育","居民服務","主板",500,"0.76","245.14億",11.25,9.92,"100.00"
"06055","中煙香港","食品飲料","主板",1000,"102.04","33.75億",4.88,5.35,"60.00"
"01905","海通恒信","其他金融","主板",2000,"0.06","154.82億",1.88,1.88,"100.00"
"02181","邁博藥業—Ｂ","醫療保健","主板",2000,"1.46","61.86億",1.5,1.21,"100.00"
"01521","方達控股","醫療保健","主板",2000,"91.70","64.24億",3.2,3.35,"50.00"
"02060","浦江國際","建筑","主板",1000,"0.46","21.44億",2.68,2.71,"100.00"
"03868","信義能源","公共事業","主板",2000,"1.07","128.57億",1.94,1.94,"100.00"
"01817","慕尚集團控股","紡織服飾","主板",500,"0.48","41.71億",4.39,4.5,"100.00"
"02230","羚邦集團","影視傳媒","主板",5000,"15.77","8.96億",0.45,0.31,"60.00"
"01832","海天地悅旅","餐飲娛樂","主板",1000,"1.17","12.74億",3.54,3.46,"100.00"
"02346","星宇控股","一般金屬","主板",2000,"11.38","5.00億",1,1.11,"50.00"
"01903","JBB BUILDERS","建筑","主板",2000,"1.20","5.90億",1.18,1.23,"100.00"
"01873","維亞生物","醫療保健","主板",500,"106.92","66.15億",4.41,4.42,"100.00"
"01857","中國光大水務","公共事業","主板",1000,"2.43","83.12億",2.99,2.65,"100.00"
"01753","兌吧","軟件服務","主板",400,"7.69","66.67億",6,6.01,"100.00"
"08635","連成科技集團","軟件服務","創業板",4000,"101.30","2.12億",0.53,0.73,"15.00"
"01780","B & D STRATEGIC","建筑","主板",2500,"11.25","5.21億",0.84,0.89,"30.00"
"01906","博尼控股","紡織服飾","主板",5000,"95.94","6.96億",0.58,0.58,"50.00"
"06806","申萬宏源","券商信托","主板",800,"3.78","908.95億",3.63,3.2,"100.00"
"01545","設計都會","家電家用","主板",10000,"55.90","6.00億",0.3,0.27,"50.00"
"03321","偉鴻集團控股","建筑","主板",2500,"7.93","7.00億",1.4,1.39,"16.01"
"02660","禪游科技","軟件服務","主板",2000,"47.48","12.30億",1.23,1.61,"50.00"
"02718","東正金融","其他金融","主板",1000,"0.11","65.28億",3.06,2.77,"100.00"
"01797","新東方在線","居民服務","主板",500,"9.18","93.22億",10.2,10.2,"100.00"
"06185","康希諾生物－Ｂ","醫療保健","主板",200,"90.83","48.00億",22,34.7,"100.00"
"01865","管道工程","建筑","主板",4000,"25.97","5.06億",0.55,0.66,"50.00"
"06819","中智全球","醫療保健","主板",500,"0.59","24.05億",5.35,5.21,"100.00"
"08537","DOMINATE GP","紡織服飾","創業板",10000,"103.74","2.25億",0.3,0.405,"14.00"
"02682","潤利海事","居民服務","主板",4000,"0.78","5.00億",0.5,0.28,"100.00"
"03662","奧園健康","居民服務","主板",1000,"6.24","25.62億",3.66,4.45,"100.00"
"01563","友聯租賃","居民服務","主板",3000,"1.13","12.75億",0.85,0.83,"100.00"
