"代码","名称","行业","板块","每手股数","认购倍数","发行市值","上市价","首日收盘价","中签率"
"06869","長飛光纖光纜","通訊器材","主板",500,"4.20","47.26億",7.39,6.71,"100.00"
"01480","恩達集團控股","工業制造","主板",2000,"34.65","2.95億",1.23,1.36,"100.00"
"01022","飛魚科技","軟件服務","主板",1500,"5.01","33.00億",2.2,2.21,"100.00"
"01478","丘鈦科技","家電家用","主板",1000,"3.10","27.90億",2.79,2.62,"100.00"
"01317","楓葉教育","居民服務","主板",2000,"194.93","38.42億",2.88,2.89,"50.05"
"06882","東瀛游","餐飲娛樂","主板",2000,"104.00","6.95億",1.39,1.36,"5.05"
"01305","偉志控股","工業制造","主板",1000,"1223.00","7.36億",3.68,3.24,"15.01"
"01443","富臨集團控股","餐飲娛樂","主板",2000,"43.50","20.15億",1.55,1.31,"50.06"
"01289","盛力達科技","工業制造","主板",500,"25.74","9.88億",7.72,11.34,"100.00"
"06118","奧星生命科技","工業制造","主板",1000,"1250.80","15.60億",3.12,3.57,"10.10"
"01462","雅駿控股","建筑","主板",4000,"217.00","4.40億",1.1,1,"50.00"
"03822","三和建筑集團","建筑","主板",2000,"662.01","6.00億",1.5,1.62,"10.01"
"06893","衍生集團","醫療保健","主板",2000,"860.00","9.44億",1.18,1.37,"30.01"
"01347","華虹半導體","半導體","主板",1000,"12.88","116.31億",11.25,10.74,"30.05"
"06116","拉夏貝爾","紡織服飾","主板",200,"0.95","67.99億",13.98,14,"100.00"
"01811","中廣核美亞","公共事業","主板",2000,"557.30","70.72億",1.71,1.96,"50.01"
"01395","強泰環保","公共事業","主板",5000,"557.00","4.40億",0.55,0.94,"30.20"
"01285","嘉士利集團","食品飲料","主板",1000,"28.51","14.80億",3.7,3.89,"100.00"
"00699","神州租車","居民服務","主板",1000,"202.05","194.95億",8.5,10.96,"50.00"
"02221","創業集團控股","建筑","主板",4000,"396.66","3.44億",0.86,1.16,"100.00"
"06166","中國宏泰發展","地產","主板",1000,"0.97","49.60億",3.1,3.26,"100.00"
"01365","潤東汽車","汽車","主板",1000,"0.32","38.47億",3.58,3.57,"100.00"
"00288","萬洲國際","農業產品","主板",500,"55.22","884.33億",6.2,6.66,"100.00"
"01253","博大綠澤","建筑","主板",2000,"0.43","9.97億",1.3,1.47,"100.00"
"00400","科通芯城","軟件服務","主板",1000,"29.20","54.96億",4,3.98,"60.03"
"02399","虎都","紡織服飾","主板",1000,"1.17","18.72億",3.9,4,"100.00"
"01432","中國圣牧","食品飲料","主板",1000,"1.01","151.87億",2.39,2.38,"100.00"
"01367","恒寶企業控股","紡織服飾","主板",4000,"15.96","2.50億",0.52,0.52,"100.00"
"01848","中國飛機租賃","客運","主板",500,"1.91","32.39億",5.53,5.47,"100.00"
"01856","依波路","紡織服飾","主板",1000,"1.14","10.41億",3,3.1,"100.00"
"06123","先達國際物流","貨運物流","主板",2000,"16.78","4.72億",1.18,1.16,"50.13"
"01321","中國新城市","地產","主板",2000,"0.08","22.59億",1.3,1.57,"100.00"
"01418","盛諾集團","家電家用","主板",2000,"1.23","17.49億",1.06,1.04,"100.00"
"01980","天鴿互動","軟件服務","主板",1000,"76.13","64.26億",5.28,5.72,"60.00"
"02186","綠葉制藥","醫療保健","主板",500,"14.77","196.61億",5.92,6.7,"60.20"
"01599","城建設計","建筑","主板",1000,"0.39","33.73億",2.75,3.01,"100.00"
"06188","迪信通","通訊器材","主板",500,"0.41","35.33億",5.3,5.07,"100.00"
"01450","世紀睿科","軟件服務","主板",2000,"8.53","10.80億",1.08,1.07,"80.10"
"02329","國瑞置業","地產","主板",1000,"0.20","105.00億",2.38,2.5,"100.00"
"01446","鴻福堂","食品飲料","主板",2000,"348.82","8.22億",1.3,1.71,"5.02"
"06136","康達環保","公共事業","主板",1000,"255.23","56.00億",2.8,3.21,"20.01"
"06139","金茂投資-SS","餐飲娛樂","主板",500,"0.31","107.00億",5.35,5.35,"100.00"
"01778","彩生活","地產","主板",1000,"4.03","37.80億",3.78,4.6,"50.00"
"06899","聯眾","軟件服務","主板",1000,"11.33","33.32億",4.25,3.75,"100.00"
"00911","恒發洋參","醫療保健","主板",2000,"51.45","39.60億",1.98,1.5,"100.00"
"01626","嘉耀控股","工用支援","主板",2000,"44.16","3.78億",1.26,1.28,"100.00"
"03639","億達中國","地產","主板",2000,"0.05","63.21億",2.45,2.44,"100.00"
"03709","珂萊蒂爾","紡織服飾","主板",1000,"4.59","21.00億",4.2,4.4,"100.00"
"01588","暢捷通","軟件服務","主板",200,"210.35","35.57億",16.38,15.04,"100.00"
"02229","長港敦信","原材料","主板",2000,"1.32","13.90億",1.4,1.09,"100.00"
"02298","都市麗人","紡織服飾","主板",1000,"20.58","68.63億",3.6,3.55,"100.00"
"01375","中州證券","券商信托","主板",1000,"0.65","66.05億",2.51,2.16,"100.00"
"06128","泛亞國際","建筑","主板",2000,"355.60","4.80億",1.2,1.18,"100.00"
"01619","天合化工","原材料","主板",2000,"0.12","459.59億",1.8,1.79,"100.00"
